ID;Implementing Partner;Lead Office;Type of Project;Project Title;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type
1;IFRC, AusAID, PRC;DMS;Disaster Response;Typhoon Nina Response Operations;1752;;Caguisican;Completed;;families
2;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;257;25701;Sal Leonardo;Completed;;families
3;Australian Red Cross;WASH;WASH and DRR;Building Healthy and Resilient Schools;133;13301;Balawarte;Ongoing;367;individuals
4;Australian Red Cross;WASH;WASH and DRR;Building Healthy and Resilient Schools;1427;142708;Damag;Ongoing;70;individuals
5;Australian Red Cross;WASH;WASH and DRR;Building Healthy and Resilient Schools;1427;142708;Galonogon;Ongoing;240;individuals
6;British Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;630;63001;Barrido;Completed;;families
7;British Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;630;63001;Lanjagan;Completed;;community
8;British Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;630;63001;Pinantan Elizalde;Completed;;community
9;British Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;630;63001;Progreso;Completed;;community
10;British Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;630;63001;Punta Buri;Completed;;community
11;British Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;630;63001;Silagon;Completed;;community
12;British Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;630;63001;Tagubanhan;Completed;;community
13;American Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83702;Aslum;Completed;;school
14;American Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83702;Astorga;Completed;;school
15;American Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83702;Hubang;Completed;;school
16;American Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83702;Penalosa;Completed;;school
17;American Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83702;Santiago;Completed;;school
18;American Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83702;Aslum;Completed;;community
19;American Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83702;Astorga;Completed;;community
20;American Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83702;Hubang;Completed;;community
21;American Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83702;Penalosa;Completed;;community
22;American Red Cross;DMS;Disaster Risk Reduction;Community Disaster Risk Reduction - Haiyan Recovery;837;83702;Santiago;Completed;;community
23;American Red Cross;DMS;Disaster Risk Reduction;Uswag Pa Leyteno;837;83702;Aslum;Ongoing;;community
24;American Red Cross;DMS;Disaster Risk Reduction;Uswag Pa Leyteno;837;83702;Aslum;Ongoing;;community
25;American Red Cross;DMS;Disaster Risk Reduction;Uswag Pa Leyteno;837;83702;Astorga;Ongoing;;community
26;American Red Cross;DMS;Disaster Risk Reduction;Uswag Pa Leyteno;837;83702;Astorga;Ongoing;;community
27;American Red Cross;DMS;Disaster Risk Reduction;Uswag Pa Leyteno;837;83702;Hubang;Ongoing;;community
28;American Red Cross;DMS;Disaster Risk Reduction;Uswag Pa Leyteno;837;83702;Hubang;Ongoing;;community
29;American Red Cross;DMS;Disaster Risk Reduction;Uswag Pa Leyteno;837;83702;Pe¤alosa;Ongoing;;community
30;American Red Cross;DMS;Disaster Risk Reduction;Uswag Pa Leyteno;837;83702;Pe¤alosa;Ongoing;;community
31;American Red Cross;DMS;Disaster Risk Reduction;Uswag Pa Leyteno;837;83702;Santiago;Ongoing;;community
32;American Red Cross;DMS;Disaster Risk Reduction;Uswag Pa Leyteno;837;83702;Santiago;Ongoing;;community
33;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;215;21502;Agani;Completed;;families
34;PRC, IFRC, NZAID, SingRC, Local Donors;DMS;Disaster Response;Typhoon Lawin Emergency Response Operations;215;21502;Pusian;Completed;;families
